Full Name,Owner,Repo,Description,Stars,Language,Updated,Repo URL,User URL,Labels
"getdozer/getdozer","getdozer","getdozer","Dozer is a real-time data movement tool that leverages CDC from various sources and moves data into various sinks.","1.6k","Rust","Jun 18, 2024, 5:23 PM GMT-5","https://github.com/getdozer/getdozer","https://github.com/getdozer","[{""text"":""api"",""url"":""https://github.com/topics/api""},{""text"":""rust"",""url"":""https://github.com/topics/rust""},{""text"":""postgres"",""url"":""https://github.com/topics/postgres""},{""text"":""data"",""url"":""https://github.com/topics/data""},{""text"":""streaming"",""url"":""https://github.com/topics/streaming""},{""text"":""sql"",""url"":""https://github.com/topics/sql""},{""text"":""etl"",""url"":""https://github.com/topics/etl""},{""text"":""clickhouse"",""url"":""https://github.com/topics/clickhouse""},{""text"":""realtime"",""url"":""https://github.com/topics/realtime""},{""text"":""snowflake"",""url"":""https://github.com/topics/snowflake""},{""text"":""apis"",""url"":""https://github.com/topics/apis""},{""text"":""datawarehouse"",""url"":""https://github.com/topics/datawarehouse""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""debe"",""url"":""https://github.com/topics/debe""}]"
"steedos/steedos","steedos","steedos","企业级开源低代码开发平台 | The Open Source Low-Code Platform for Enterprise. 🤖 🎨 🚀","1.5k","TypeScript","Dec 26, 2025, 7:30 AM GMT-5","https://github.com/steedos/steedos","https://github.com/steedos","[{""text"":""erp"",""url"":""https://github.com/topics/erp""},{""text"":""sap"",""url"":""https://github.com/topics/sap""},{""text"":""openapi"",""url"":""https://github.com/topics/openapi""},{""text"":""paas"",""url"":""https://github.com/topics/paas""},{""text"":""saas"",""url"":""https://github.com/topics/saas""},{""text"":""odoo"",""url"":""https://github.com/topics/odoo""},{""text"":""salesforce"",""url"":""https://github.com/topics/salesforce""},{""text"":""airtable"",""url"":""https://github.com/topics/airtable""},{""text"":""bpm"",""url"":""https://github.com/topics/bpm""},{""text"":""mendix"",""url"":""https://github.com/topics/mendix""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""no-code"",""url"":""https://github.com/topics/no-code""},{""text"":""moleculer"",""url"":""https://github.com/topics/moleculer""},{""text"":""outsystems"",""url"":""https://github.com/topics/outsystems""},{""text"":""amis"",""url"":""https://github.com/topics/amis""},{""text"":""lowcode"",""url"":""https://github.com/topics/lowcode""},{""text"":""appsmith"",""url"":""https://github.com/topics/appsmith""},{""text"":""budibase"",""url"":""https://github.com/topics/budibase""},{""text"":""clickpaas"",""url"":""https://github.com/topics/clickpaas""},{""text"":""chatgpt"",""url"":""https://github.com/topics/chatgpt""}]"
"smartxworks/smartxworks","smartxworks","smartxworks","A Framework for Developing Low-code Tool","1.5k","TypeScript","Jun 27, 2025, 5:14 AM GMT-5","https://github.com/smartxworks/smartxworks","https://github.com/smartxworks","[{""text"":""framework"",""url"":""https://github.com/topics/framework""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""retool"",""url"":""https://github.com/topics/retool""},{""text"":""appsmith"",""url"":""https://github.com/topics/appsmith""}]"
"ModelEngine-Group/ModelEngine-Group","ModelEngine-Group","ModelEngine-Group","AppPlatform 是一个前沿的大模型应用工程，旨在通过集成的声明式编程和低代码配置工具，简化和优化大模型的训练与推理应用的开发过程。本工程为软件工程师和产品经理提供一个强大的、可扩展的环境，以支持从概念到部署的全流程 AI 应用开发。","1.4k","Java","Dec 24, 2025, 2:08 AM GMT-5","https://github.com/ModelEngine-Group/ModelEngine-Group","https://github.com/ModelEngine-Group","[{""text"":""java"",""url"":""https://github.com/topics/java""},{""text"":""agent"",""url"":""https://github.com/topics/agent""},{""text"":""ai"",""url"":""https://github.com/topics/ai""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""agentic-workflow"",""url"":""https://github.com/topics/agentic-workflow""},{""text"":""agentic-ai"",""url"":""https://github.com/topics/agentic-ai""}]"
"rulego/rulego","rulego","rulego","⛓️RuleGo is a lightweight, high-performance, embedded, next-generation component orchestration rule engine framework for Go.","1.4k","Go","Dec 21, 2025, 1:07 AM GMT-5","https://github.com/rulego/rulego","https://github.com/rulego","[{""text"":""go"",""url"":""https://github.com/topics/go""},{""text"":""iot"",""url"":""https://github.com/topics/iot""},{""text"":""workflow"",""url"":""https://github.com/topics/workflow""},{""text"":""automation"",""url"":""https://github.com/topics/automation""},{""text"":""ai"",""url"":""https://github.com/topics/ai""},{""text"":""rule-engine"",""url"":""https://github.com/topics/rule-engine""},{""text"":""mcp"",""url"":""https://github.com/topics/mcp""},{""text"":""workflow-engine"",""url"":""https://github.com/topics/workflow-engine""},{""text"":""data-flow"",""url"":""https://github.com/topics/data-flow""},{""text"":""ipaas"",""url"":""https://github.com/topics/ipaas""},{""text"":""workflow-automation"",""url"":""https://github.com/topics/workflow-automation""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""edge-computing"",""url"":""https://github.com/topics/edge-computing""},{""text"":""intergrations"",""url"":""https://github.com/topics/intergrations""},{""text"":""low-code-framework"",""url"":""https://github.com/topics/low-code-framework""},{""text"":""rulego"",""url"":""https://github.com/topics/rulego""},{""text"":""mcp-server"",""url"":""https://github.com/topics/mcp-server""},{""text"":""mcp-client"",""url"":""https://github.com/topics/mcp-client""}]"
"obsei/obsei","obsei","obsei","Obsei is a low code AI powered automation tool. It can be used in various business flows like social listening, AI based alerting, brand image analysis, comparative study and more .","1.4k","Python","Nov 20, 2025, 10:03 PM GMT-5","https://github.com/obsei/obsei","https://github.com/obsei","[{""text"":""python"",""url"":""https://github.com/topics/python""},{""text"":""nlp"",""url"":""https://github.com/topics/nlp""},{""text"":""workflow"",""url"":""https://github.com/topics/workflow""},{""text"":""natural-language-processing"",""url"":""https://github.com/topics/natural-language-processing""},{""text"":""sentiment-analysis"",""url"":""https://github.com/topics/sentiment-analysis""},{""text"":""text-classification"",""url"":""https://github.com/topics/text-classification""},{""text"":""customer-support"",""url"":""https://github.com/topics/customer-support""},{""text"":""text-analysis"",""url"":""https://github.com/topics/text-analysis""},{""text"":""artificial-intelligence"",""url"":""https://github.com/topics/artificial-intelligence""},{""text"":""text-analytics"",""url"":""https://github.com/topics/text-analytics""},{""text"":""social-network-analysis"",""url"":""https://github.com/topics/social-network-analysis""},{""text"":""workflow-automation"",""url"":""https://github.com/topics/workflow-automation""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""anonymization"",""url"":""https://github.com/topics/anonymization""},{""text"":""issue-tracking-system"",""url"":""https://github.com/topics/issue-tracking-system""},{""text"":""process-automation"",""url"":""https://github.com/topics/process-automation""},{""text"":""customer-engagement"",""url"":""https://github.com/topics/customer-engagement""},{""text"":""lowcode"",""url"":""https://github.com/topics/lowcode""},{""text"":""business-process-automation"",""url"":""https://github.com/topics/business-process-automation""},{""text"":""social-listening"",""url"":""https://github.com/topics/social-listening""}]"
"AnsGoo/AnsGoo","AnsGoo","AnsGoo","OpenDataV 是一个纯前端的拖拽式、可视化、低代码数据可视化🌈开发平台，你可以用它自由的拼接成各种✨炫酷的大屏，同时支持用户方便的开发自己的组件并接入平台。","1.3k","TypeScript","Jul 12, 2025, 8:47 AM GMT-5","https://github.com/AnsGoo/AnsGoo","https://github.com/AnsGoo","[{""text"":""typescript"",""url"":""https://github.com/topics/typescript""},{""text"":""kanban"",""url"":""https://github.com/topics/kanban""},{""text"":""draggable"",""url"":""https://github.com/topics/draggable""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""bigscreen"",""url"":""https://github.com/topics/bigscreen""},{""text"":""datav"",""url"":""https://github.com/topics/datav""},{""text"":""vue3"",""url"":""https://github.com/topics/vue3""},{""text"":""low-code-framework"",""url"":""https://github.com/topics/low-code-framework""}]"
"SelfExplainML/SelfExplainML","SelfExplainML","SelfExplainML","PiML (Python Interpretable Machine Learning) toolbox for model development & diagnostics","1.3k","Jupyter Notebook","Mar 30, 2025, 10:42 AM GMT-5","https://github.com/SelfExplainML/SelfExplainML","https://github.com/SelfExplainML","[{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""interpretable-machine-learning"",""url"":""https://github.com/topics/interpretable-machine-learning""},{""text"":""model-diagnostics"",""url"":""https://github.com/topics/model-diagnostics""},{""text"":""ml-workflow"",""url"":""https://github.com/topics/ml-workflow""}]"
"uasoft-indonesia/uasoft-indonesia","uasoft-indonesia","uasoft-indonesia","Laravel Vue headless CMS / admin panel / dashboard / builder / API CRUD generator, anything !","1.2k","PHP","Jun 13, 2025, 4:54 AM GMT-5","https://github.com/uasoft-indonesia/uasoft-indonesia","https://github.com/uasoft-indonesia","[{""text"":""api"",""url"":""https://github.com/topics/api""},{""text"":""graphql"",""url"":""https://github.com/topics/graphql""},{""text"":""php"",""url"":""https://github.com/topics/php""},{""text"":""cms"",""url"":""https://github.com/topics/cms""},{""text"":""vuejs"",""url"":""https://github.com/topics/vuejs""},{""text"":""laravel"",""url"":""https://github.com/topics/laravel""},{""text"":""crud"",""url"":""https://github.com/topics/crud""},{""text"":""spa"",""url"":""https://github.com/topics/spa""},{""text"":""pwa"",""url"":""https://github.com/topics/pwa""},{""text"":""rest"",""url"":""https://github.com/topics/rest""},{""text"":""generator"",""url"":""https://github.com/topics/generator""},{""text"":""dashboard"",""url"":""https://github.com/topics/dashboard""},{""text"":""service-worker"",""url"":""https://github.com/topics/service-worker""},{""text"":""headless"",""url"":""https://github.com/topics/headless""},{""text"":""customizable"",""url"":""https://github.com/topics/customizable""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""no-code"",""url"":""https://github.com/topics/no-code""},{""text"":""lcpd"",""url"":""https://github.com/topics/lcpd""},{""text"":""ncpd"",""url"":""https://github.com/topics/ncpd""}]"
"KhazP/KhazP","KhazP","KhazP","Templates and workflow for generating PRDs, Tech Designs, and MVP and more using LLMs for AI IDEs","1.2k","","Dec 25, 2025, 6:44 AM GMT-5","https://github.com/KhazP/KhazP","https://github.com/KhazP","[{""text"":""beginner-friendly"",""url"":""https://github.com/topics/beginner-friendly""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""no-code"",""url"":""https://github.com/topics/no-code""},{""text"":""ai-agents"",""url"":""https://github.com/topics/ai-agents""},{""text"":""technical-design"",""url"":""https://github.com/topics/technical-design""},{""text"":""development-workflows"",""url"":""https://github.com/topics/development-workflows""},{""text"":""ai-workflow"",""url"":""https://github.com/topics/ai-workflow""},{""text"":""prompt-enginering"",""url"":""https://github.com/topics/prompt-enginering""},{""text"":""mvp-development"",""url"":""https://github.com/topics/mvp-development""},{""text"":""product-requirement-document"",""url"":""https://github.com/topics/product-requirement-document""},{""text"":""vibe-coding"",""url"":""https://github.com/topics/vibe-coding""},{""text"":""ai-coding-assistant"",""url"":""https://github.com/topics/ai-coding-assistant""}]"
"didi/didi","didi","didi","Turbo is a light-weight flow engine framework, support BPMN2.0. 一款轻量级流程引擎服务框架，可作为底层服务支持各类流程设计、低代码设计、工作流、审批流、服务编排等场景","1.2k","Java","Nov 24, 2025, 8:21 AM GMT-5","https://github.com/didi/didi","https://github.com/didi","[{""text"":""java"",""url"":""https://github.com/topics/java""},{""text"":""workflow"",""url"":""https://github.com/topics/workflow""},{""text"":""bpmn"",""url"":""https://github.com/topics/bpmn""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""flow-engine"",""url"":""https://github.com/topics/flow-engine""},{""text"":""lowcode"",""url"":""https://github.com/topics/lowcode""}]"
"tegojs/tegojs","tegojs","tegojs","Tego is a pluggable Node.js framework for building customizable development platforms. It enables developers to create their own no-code/low-code systems or event-driven applications, while the core focuses on stability and environment adaptability.","1.1k","TypeScript","Dec 26, 2025, 2:48 AM GMT-5","https://github.com/tegojs/tegojs","https://github.com/tegojs","[{""text"":""nodejs"",""url"":""https://github.com/topics/nodejs""},{""text"":""internal-tools"",""url"":""https://github.com/topics/internal-tools""},{""text"":""crud"",""url"":""https://github.com/topics/crud""},{""text"":""erp"",""url"":""https://github.com/topics/erp""},{""text"":""crm"",""url"":""https://github.com/topics/crm""},{""text"":""admin-dashboard"",""url"":""https://github.com/topics/admin-dashboard""},{""text"":""self-hosted"",""url"":""https://github.com/topics/self-hosted""},{""text"":""workflows"",""url"":""https://github.com/topics/workflows""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""approval"",""url"":""https://github.com/topics/approval""},{""text"":""low-code-development-platform"",""url"":""https://github.com/topics/low-code-development-platform""},{""text"":""low-code-platform"",""url"":""https://github.com/topics/low-code-platform""},{""text"":""low-code-development"",""url"":""https://github.com/topics/low-code-development""}]"
"hiparker/hiparker","hiparker","hiparker","OPSLI 快速开发平台基于springboot、vue、element-ui ，项目采用前后端分离架构，热插拔式业务模块与插件扩展性高 ,代码简洁，功能丰富，开箱即用","1.1k","Java","Jun 7, 2025, 11:43 PM GMT-5","https://github.com/hiparker/hiparker","https://github.com/hiparker","[{""text"":""redis"",""url"":""https://github.com/topics/redis""},{""text"":""jwt"",""url"":""https://github.com/topics/jwt""},{""text"":""admin"",""url"":""https://github.com/topics/admin""},{""text"":""oss"",""url"":""https://github.com/topics/oss""},{""text"":""spring"",""url"":""https://github.com/topics/spring""},{""text"":""spring-boot"",""url"":""https://github.com/topics/spring-boot""},{""text"":""vue"",""url"":""https://github.com/topics/vue""},{""text"":""codegenerator"",""url"":""https://github.com/topics/codegenerator""},{""text"":""springboot"",""url"":""https://github.com/topics/springboot""},{""text"":""redisson"",""url"":""https://github.com/topics/redisson""},{""text"":""mybatis"",""url"":""https://github.com/topics/mybatis""},{""text"":""shiro"",""url"":""https://github.com/topics/shiro""},{""text"":""element-ui"",""url"":""https://github.com/topics/element-ui""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""opsli"",""url"":""https://github.com/topics/opsli""},{""text"":""opsli-boot"",""url"":""https://github.com/topics/opsli-boot""},{""text"":""opsli-ui"",""url"":""https://github.com/topics/opsli-ui""}]"
"polterguy/polterguy","polterguy","polterguy","An AI-based Low-Code and No-Code software development automation framework","1.1k","C#","Dec 26, 2025, 5:18 AM GMT-5","https://github.com/polterguy/polterguy","https://github.com/polterguy","[{""text"":""ai"",""url"":""https://github.com/topics/ai""},{""text"":""openai"",""url"":""https://github.com/topics/openai""},{""text"":""automation-framework"",""url"":""https://github.com/topics/automation-framework""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""no-code"",""url"":""https://github.com/topics/no-code""},{""text"":""vibe-coding"",""url"":""https://github.com/topics/vibe-coding""}]"
"StreetLamb/StreetLamb","StreetLamb","StreetLamb","Low code tool to rapidly build and coordinate multi-agent teams","1.1k","TypeScript","Oct 27, 2025, 2:30 AM GMT-5","https://github.com/StreetLamb/StreetLamb","https://github.com/StreetLamb","[{""text"":""chat"",""url"":""https://github.com/topics/chat""},{""text"":""open-source"",""url"":""https://github.com/topics/open-source""},{""text"":""ai"",""url"":""https://github.com/topics/ai""},{""text"":""chatbot"",""url"":""https://github.com/topics/chatbot""},{""text"":""gpt"",""url"":""https://github.com/topics/gpt""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""no-code"",""url"":""https://github.com/topics/no-code""},{""text"":""agent-based-framework"",""url"":""https://github.com/topics/agent-based-framework""},{""text"":""agent-oriented-programming"",""url"":""https://github.com/topics/agent-oriented-programming""},{""text"":""ai-tools"",""url"":""https://github.com/topics/ai-tools""},{""text"":""gpt-4"",""url"":""https://github.com/topics/gpt-4""},{""text"":""llms"",""url"":""https://github.com/topics/llms""},{""text"":""gpt-35-turbo"",""url"":""https://github.com/topics/gpt-35-turbo""},{""text"":""langchain-python"",""url"":""https://github.com/topics/langchain-python""},{""text"":""llm-agent"",""url"":""https://github.com/topics/llm-agent""},{""text"":""agentic"",""url"":""https://github.com/topics/agentic""},{""text"":""llm-framework"",""url"":""https://github.com/topics/llm-framework""},{""text"":""agentic-agi"",""url"":""https://github.com/topics/agentic-agi""},{""text"":""langgraph"",""url"":""https://github.com/topics/langgraph""},{""text"":""gpt-4o"",""url"":""https://github.com/topics/gpt-4o""}]"
"zatosource/zatosource","zatosource","zatosource","ESB, SOA, REST, APIs and Cloud Integrations in Python","998","Python","Dec 25, 2025, 9:46 AM GMT-5","https://github.com/zatosource/zatosource","https://github.com/zatosource","[{""text"":""python"",""url"":""https://github.com/topics/python""},{""text"":""api"",""url"":""https://github.com/topics/api""},{""text"":""enterprise"",""url"":""https://github.com/topics/enterprise""},{""text"":""api-gateway"",""url"":""https://github.com/topics/api-gateway""},{""text"":""aerospace"",""url"":""https://github.com/topics/aerospace""},{""text"":""orchestration-framework"",""url"":""https://github.com/topics/orchestration-framework""},{""text"":""api-server"",""url"":""https://github.com/topics/api-server""},{""text"":""interoperability"",""url"":""https://github.com/topics/interoperability""},{""text"":""healthcare"",""url"":""https://github.com/topics/healthcare""},{""text"":""soa"",""url"":""https://github.com/topics/soa""},{""text"":""fhir"",""url"":""https://github.com/topics/fhir""},{""text"":""airport"",""url"":""https://github.com/topics/airport""},{""text"":""ipaas"",""url"":""https://github.com/topics/ipaas""},{""text"":""esb"",""url"":""https://github.com/topics/esb""},{""text"":""hl7"",""url"":""https://github.com/topics/hl7""},{""text"":""automation-framework"",""url"":""https://github.com/topics/automation-framework""},{""text"":""defense"",""url"":""https://github.com/topics/defense""},{""text"":""telecommunications"",""url"":""https://github.com/topics/telecommunications""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""enterprise-service-bus"",""url"":""https://github.com/topics/enterprise-service-bus""}]"
"authorjapps/authorjapps","authorjapps","authorjapps","zerocode-tdd is a community-developed, free, open-source, automated testing lib for microservices APIs, Kafka(Data Streams), Databases and Load testing. It enables you to create executable automated test scenarios via simple JSON or YAML — no coding required.","991","Java","Oct 4, 2025, 3:20 AM GMT-5","https://github.com/authorjapps/authorjapps","https://github.com/authorjapps","[{""text"":""java"",""url"":""https://github.com/topics/java""},{""text"":""testing"",""url"":""https://github.com/topics/testing""},{""text"":""api"",""url"":""https://github.com/topics/api""},{""text"":""http"",""url"":""https://github.com/topics/http""},{""text"":""json"",""url"":""https://github.com/topics/json""},{""text"":""automation"",""url"":""https://github.com/topics/automation""},{""text"":""library"",""url"":""https://github.com/topics/library""},{""text"":""framework"",""url"":""https://github.com/topics/framework""},{""text"":""kafka"",""url"":""https://github.com/topics/kafka""},{""text"":""dsl"",""url"":""https://github.com/topics/dsl""},{""text"":""soap"",""url"":""https://github.com/topics/soap""},{""text"":""declarative"",""url"":""https://github.com/topics/declarative""},{""text"":""assertions"",""url"":""https://github.com/topics/assertions""},{""text"":""consumer"",""url"":""https://github.com/topics/consumer""},{""text"":""automation-framework"",""url"":""https://github.com/topics/automation-framework""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""nocode"",""url"":""https://github.com/topics/nocode""},{""text"":""api-contract"",""url"":""https://github.com/topics/api-contract""},{""text"":""no-code-framework"",""url"":""https://github.com/topics/no-code-framework""}]"
"oinone/oinone","oinone","oinone","Oinone 是企业级产品化引擎，以低代码和无代码驱动的标准化研发与敏捷交付一体化的研发框架。解决研发效率与成本问题，解决产品标准化与规模化交付问题。借鉴Odoo的工程化理念，并在无代码能力上显著增强，即面向专业研发，又能面向公民研发。 [低代码、无代码一体化] [面向软件公司] [国产化适配][低代码平台][无代码平台][快速开发][研发平台][开发框架][JAVA开发框架][JAVA研发框架]","987","Java","Dec 22, 2025, 12:59 AM GMT-5","https://github.com/oinone/oinone","https://github.com/oinone","[{""text"":""framework"",""url"":""https://github.com/topics/framework""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""lowcode"",""url"":""https://github.com/topics/lowcode""},{""text"":""low-code-framework"",""url"":""https://github.com/topics/low-code-framework""},{""text"":""ai-lowcode"",""url"":""https://github.com/topics/ai-lowcode""},{""text"":""oinone"",""url"":""https://github.com/topics/oinone""}]"
"design-first/design-first","design-first","design-first","A low-code development platform for creating systems 🇺🇦#standwithUkraine","987","HTML","Jan 13, 2024, 12:37 PM GMT-5","https://github.com/design-first/design-first","https://github.com/design-first","[{""text"":""javascript"",""url"":""https://github.com/topics/javascript""},{""text"":""schema"",""url"":""https://github.com/topics/schema""},{""text"":""system"",""url"":""https://github.com/topics/system""},{""text"":""model"",""url"":""https://github.com/topics/model""},{""text"":""ide"",""url"":""https://github.com/topics/ide""},{""text"":""uml"",""url"":""https://github.com/topics/uml""},{""text"":""metamodel"",""url"":""https://github.com/topics/metamodel""},{""text"":""mson"",""url"":""https://github.com/topics/mson""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""}]"
"totumonline/totumonline","totumonline","totumonline","Small-code database for non-programmers. Universal UI, simple-code logic, automatic actions, access rules, logging, API and more. Quickly create a complex internal apps using the database as an interface.","984","PHP","Dec 25, 2025, 10:44 AM GMT-5","https://github.com/totumonline/totumonline","https://github.com/totumonline","[{""text"":""productivity"",""url"":""https://github.com/topics/productivity""},{""text"":""php"",""url"":""https://github.com/topics/php""},{""text"":""postgres"",""url"":""https://github.com/topics/postgres""},{""text"":""database"",""url"":""https://github.com/topics/database""},{""text"":""erp"",""url"":""https://github.com/topics/erp""},{""text"":""postgresql"",""url"":""https://github.com/topics/postgresql""},{""text"":""erp-framework"",""url"":""https://github.com/topics/erp-framework""},{""text"":""internal-apps"",""url"":""https://github.com/topics/internal-apps""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""crm-platform"",""url"":""https://github.com/topics/crm-platform""},{""text"":""low-code-development-platform"",""url"":""https://github.com/topics/low-code-development-platform""},{""text"":""small-code"",""url"":""https://github.com/topics/small-code""}]"
"openops-cloud/openops-cloud","openops-cloud","openops-cloud","The batteries-included, No-Code FinOps automation platform, with the AI you trust.","972","TypeScript","Dec 24, 2025, 11:38 AM GMT-5","https://github.com/openops-cloud/openops-cloud","https://github.com/openops-cloud","[{""text"":""workflow-engine"",""url"":""https://github.com/topics/workflow-engine""},{""text"":""self-hosted"",""url"":""https://github.com/topics/self-hosted""},{""text"":""workflow-automation"",""url"":""https://github.com/topics/workflow-automation""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""no-code"",""url"":""https://github.com/topics/no-code""},{""text"":""ai-agents"",""url"":""https://github.com/topics/ai-agents""},{""text"":""finops"",""url"":""https://github.com/topics/finops""},{""text"":""cloud-governance"",""url"":""https://github.com/topics/cloud-governance""},{""text"":""ai-agent"",""url"":""https://github.com/topics/ai-agent""},{""text"":""cloud-optimization"",""url"":""https://github.com/topics/cloud-optimization""},{""text"":""enterprise-automation"",""url"":""https://github.com/topics/enterprise-automation""},{""text"":""mcp-servers"",""url"":""https://github.com/topics/mcp-servers""},{""text"":""mcp-server"",""url"":""https://github.com/topics/mcp-server""},{""text"":""mcp-tools"",""url"":""https://github.com/topics/mcp-tools""},{""text"":""openops"",""url"":""https://github.com/topics/openops""},{""text"":""finops-automation"",""url"":""https://github.com/topics/finops-automation""}]"
"cgoinglove/cgoinglove","cgoinglove","cgoinglove","Just a Better Chatbot. Powered by Agent & MCP & Workflows.","955","TypeScript","Dec 8, 2025, 7:09 AM GMT-5","https://github.com/cgoinglove/cgoinglove","https://github.com/cgoinglove","[{""text"":""agent"",""url"":""https://github.com/topics/agent""},{""text"":""workflow"",""url"":""https://github.com/topics/workflow""},{""text"":""automation"",""url"":""https://github.com/topics/automation""},{""text"":""ui"",""url"":""https://github.com/topics/ui""},{""text"":""ai"",""url"":""https://github.com/topics/ai""},{""text"":""mcp"",""url"":""https://github.com/topics/mcp""},{""text"":""nextjs"",""url"":""https://github.com/topics/nextjs""},{""text"":""chatbot"",""url"":""https://github.com/topics/chatbot""},{""text"":""web-ui"",""url"":""https://github.com/topics/web-ui""},{""text"":""gemini"",""url"":""https://github.com/topics/gemini""},{""text"":""openai"",""url"":""https://github.com/topics/openai""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""claude"",""url"":""https://github.com/topics/claude""},{""text"":""voice-ai"",""url"":""https://github.com/topics/voice-ai""},{""text"":""ai-chatbot"",""url"":""https://github.com/topics/ai-chatbot""},{""text"":""vercel"",""url"":""https://github.com/topics/vercel""},{""text"":""ollama"",""url"":""https://github.com/topics/ollama""},{""text"":""openai-realtime"",""url"":""https://github.com/topics/openai-realtime""},{""text"":""mcp-server"",""url"":""https://github.com/topics/mcp-server""},{""text"":""mcp-client"",""url"":""https://github.com/topics/mcp-client""}]"
"antvis/antvis","antvis","antvis","G6VP is an online visual analysis tool for graphs and a low-code platform for building graph applications.","930","TypeScript","Aug 5, 2024, 9:31 PM GMT-5","https://github.com/antvis/antvis","https://github.com/antvis","[{""text"":""react"",""url"":""https://github.com/topics/react""},{""text"":""visualization"",""url"":""https://github.com/topics/visualization""},{""text"":""graphviz"",""url"":""https://github.com/topics/graphviz""},{""text"":""typescript"",""url"":""https://github.com/topics/typescript""},{""text"":""neo4j"",""url"":""https://github.com/topics/neo4j""},{""text"":""graph"",""url"":""https://github.com/topics/graph""},{""text"":""network"",""url"":""https://github.com/topics/network""},{""text"":""graphs"",""url"":""https://github.com/topics/graphs""},{""text"":""data-visualization"",""url"":""https://github.com/topics/data-visualization""},{""text"":""knowledge-graph"",""url"":""https://github.com/topics/knowledge-graph""},{""text"":""business-intelligence"",""url"":""https://github.com/topics/business-intelligence""},{""text"":""graph-database"",""url"":""https://github.com/topics/graph-database""},{""text"":""graph-visualization"",""url"":""https://github.com/topics/graph-visualization""},{""text"":""network-visualization"",""url"":""https://github.com/topics/network-visualization""},{""text"":""graph-drawing"",""url"":""https://github.com/topics/graph-drawing""},{""text"":""graph-analysis"",""url"":""https://github.com/topics/graph-analysis""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""g6"",""url"":""https://github.com/topics/g6""}]"
"commsor/commsor","commsor","commsor","Titanoboa makes complex workflows easy. It is a low-code workflow orchestration platform for JVM - distributed, highly scalable and fault tolerant.","923","Clojure","Sep 16, 2022, 7:57 AM GMT-5","https://github.com/commsor/commsor","https://github.com/commsor","[{""text"":""workflow"",""url"":""https://github.com/topics/workflow""},{""text"":""distributed-systems"",""url"":""https://github.com/topics/distributed-systems""},{""text"":""integrations"",""url"":""https://github.com/topics/integrations""},{""text"":""big-data"",""url"":""https://github.com/topics/big-data""},{""text"":""jvm"",""url"":""https://github.com/topics/jvm""},{""text"":""workflow-engine"",""url"":""https://github.com/topics/workflow-engine""},{""text"":""service-bus"",""url"":""https://github.com/topics/service-bus""},{""text"":""distributed"",""url"":""https://github.com/topics/distributed""},{""text"":""ipaas"",""url"":""https://github.com/topics/ipaas""},{""text"":""esb"",""url"":""https://github.com/topics/esb""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""workflow-platform"",""url"":""https://github.com/topics/workflow-platform""},{""text"":""titanoboa"",""url"":""https://github.com/topics/titanoboa""}]"
"yangyuji/yangyuji","yangyuji","yangyuji","h5制作，移动端专题活动页面可视化编辑","858","Vue","Mar 3, 2023, 12:56 PM GMT-5","https://github.com/yangyuji/yangyuji","https://github.com/yangyuji","[{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""h5-factory"",""url"":""https://github.com/topics/h5-factory""},{""text"":""h5-editor"",""url"":""https://github.com/topics/h5-editor""},{""text"":""h5-creater"",""url"":""https://github.com/topics/h5-creater""}]"
